date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-08-12,108292127.42983507,0.03299470613196367,6096148498.2096195,1.7465283565213148,6055836.7826302275,0.0017602186493095421,94971395.37124634,13320732.058588732,-0.006437719
2025-08-13,108678856.75277741,0.005255700157553221,6279196019.962168,1.6903123624674274,6238258.410882639,0.0016845326856341093,96792333.32271576,11886523.430061653,-0.004319668
2025-08-14,107877048.89224598,-0.005944809832278527,6435721585.337114,1.4402577470152345,6393991.135229372,0.0014329624823068792,97731940.24295807,10145108.649287902,0.0028922558
2025-08-15,107515463.95786454,-0.0018309920271104166,6599344778.614378,1.516756297631948,6558054.05318091,0.0015208324628477102,96654968.8779831,10860495.079881446,-0.020187438
2025-08-18,107309795.9598659,-0.0003848742450636127,6763997476.986456,1.5314327103364924,6722342.1181561025,0.0015280412596236155,97342855.7387352,9966940.2211307,0.0036791563
2025-08-19,107340608.02414751,0.0014903718010813682,6893057543.681836,1.2026867215705914,6851461.547752869,0.0012032399133911108,97384061.42983437,9956546.594313143,0.0036656857
2025-08-20,107967295.85216117,0.007058621663484849,7023791326.644826,1.2179340639991505,6982450.460910094,0.0012203108922930377,97631477.78253555,10335818.069625614,0.0021914244
2025-08-21,108646356.68202676,0.007604242411776706,7165872914.522576,1.315968754763495,7124399.121248351,0.0013147375713903839,98718342.35172272,9928014.330304043,0.004373193
2025-08-22,108667940.57960345,0.0018506126626560032,7345382672.675109,1.6522390960416684,7303877.547098861,0.0016519507080737718,98982069.27919388,9685871.300409576,0.011610985
2025-08-25,110104968.77549909,0.014504283438350458,7483746280.567765,1.2732698085071343,7442999.962031613,0.0012802526135188832,99040605.80983162,11064362.965667468,0.006456256
2025-08-26,109171413.16873029,-0.007073094708785405,7638369165.836167,1.4043225023175274,7597772.69674345,0.0014056834712647187,97962124.05090332,11209289.117826968,0.0
2025-08-27,108059632.24715912,-0.008754394512455401,7794694436.352754,1.4319249515894532,7753823.997953282,0.0014294154181978568,97554333.04405212,10505299.203106996,-0.019957244
2025-08-28,110694277.87246189,0.026026200605151328,7971215211.785531,1.6335496592199268,7931560.038833963,0.0016447959074500152,97936183.81443024,12758094.058031652,0.008000016
2025-08-29,110979314.17509532,0.0043543505395201715,8168915674.6941805,1.7860043600124758,8128525.424776278,0.0017793637550917707,99888339.43567276,11090974.73942256,-0.01659447
2025-09-01,111078703.8188278,0.0026591098153539374,8363892305.311608,1.7568736306101826,8324241.9646680495,0.0017635407223997015,98703627.07061768,12375076.748210117,-0.01027149
2025-09-02,110796111.38818201,-0.001485841692146642,8482603561.430621,1.0687130119256156,8441789.026070205,0.0010582322025820385,100866971.13509178,9929140.25309024,0.017790914
2025-09-03,110023523.51124267,-0.0059631661644911895,8593812893.070198,1.0037295555432189,8553681.280422343,0.0010098933342535374,98840430.08737564,11183093.423867028,0.0036417246
2025-09-04,109471642.0734665,-0.00384683417870654,8722482088.407566,1.169469866361988,8682320.46749375,0.0011691971222705143,98477204.36859131,10994437.704875182,-0.00072562695
2025-09-05,110156862.47612466,0.00715571840664014,8821079083.85277,0.9006624325506625,8780448.309025811,0.0008963768120533646,100198860.43906212,9958002.037062535,-0.005809784
2025-09-08,110865381.07271501,0.007939027923894159,8986490871.426132,1.5016022048486868,8946468.119641978,0.0015071218159663027,99857352.76064873,11008028.312066285,-0.008035064
2025-09-09,110259314.698065,-0.004177043203413255,9129416917.364697,1.2891855379527462,9089445.00778839,0.0012896441320364481,99292578.85844707,10966735.83961792,0.032400608
2025-09-10,110976290.66916814,0.007883345346256154,9281835671.070675,1.3823662347563392,9241681.292091627,0.0013807113233029048,100526729.91933823,10449560.749829926,-0.0035663247
2025-09-11,114169601.96596037,0.030204189869564045,9442082427.960209,1.4439729055933779,9400318.949690886,0.0014294734185356268,107096877.45428085,7072724.511679515,0.0107373
